dataset,hidden_channels,lr,dropout,epochs,hops,wd,Accuracy,std
citeseer,16,0.01,0.2,1000,4,0.0005,77.24,1.38
cornell,16,0.001,0.4,1000,3,0.001,73.24,3.07
texas,16,0.001,0.4,1000,3,0.001,71.35,6.64
cora,16,0.003,0.3,1000,3,0.0005,85.75,1.29
citeseer,16,0.01,0.2,1000,4,0.001,77.25,1.5
wisconsin,16,0.001,0.5,1000,3,0.0005,81.57,4.4
cornell,16,0.001,0.5,1000,3,0.0005,67.84,4.9
texas,16,0.001,0.5,1000,3,0.0005,68.92,6.07
cora,16,0.003,0.3,1000,3,0.001,85.67,1.3
citeseer,16,0.01,0.3,1000,4,0.0005,77.03,1.44
wisconsin,16,0.001,0.5,1000,3,0.001,82.35,4.3
citeseer,16,0.01,0.3,1000,4,0.001,77.28,1.39
cornell,16,0.001,0.5,1000,3,0.001,69.19,3.86
cora,16,0.003,0.4,1000,3,0.0005,86.72,1.29
texas,16,0.001,0.5,1000,3,0.001,67.57,5.27
citeseer,16,0.01,0.4,1000,4,0.0005,77.21,1.22
cora,16,0.003,0.4,1000,3,0.001,87.26,1.25
wisconsin,16,0.003,0.2,1000,3,0.0005,89.22,3.07
cornell,16,0.003,0.2,1000,3,0.0005,81.35,1.89
texas,16,0.003,0.2,1000,3,0.0005,77.03,6.76
citeseer,16,0.01,0.4,1000,4,0.001,77.04,1.29
cora,16,0.003,0.5,1000,3,0.0005,87.24,0.99
wisconsin,16,0.003,0.2,1000,3,0.001,89.02,3.3
cornell,16,0.003,0.2,1000,3,0.001,82.16,2.76
texas,16,0.003,0.2,1000,3,0.001,77.3,6.42
citeseer,16,0.01,0.5,1000,4,0.0005,77.02,1.32
cora,16,0.003,0.5,1000,3,0.001,87.85,1.18
wisconsin,16,0.003,0.3,1000,3,0.0005,88.04,3.33
citeseer,16,0.01,0.5,1000,4,0.001,76.99,1.26
cornell,16,0.003,0.3,1000,3,0.0005,78.65,2.25
texas,16,0.003,0.3,1000,3,0.0005,75.41,6.89
cora,16,0.01,0.2,1000,4,0.0005,84.89,1.42
citeseer,16,0.03,0.2,1000,4,0.0005,77.17,1.61
wisconsin,16,0.003,0.3,1000,3,0.001,89.02,3.06
cornell,16,0.003,0.3,1000,3,0.001,79.73,3.25
texas,16,0.003,0.3,1000,3,0.001,74.86,7.84
cora,16,0.01,0.2,1000,4,0.001,84.33,1.6
citeseer,16,0.03,0.2,1000,4,0.001,76.78,1.56
wisconsin,16,0.003,0.4,1000,3,0.0005,86.47,3.09
cora,16,0.01,0.3,1000,4,0.0005,85.13,1.42
citeseer,16,0.03,0.3,1000,4,0.0005,77.0,1.44
texas,16,0.003,0.4,1000,3,0.0005,73.24,7.3
cornell,16,0.003,0.4,1000,3,0.0005,76.76,2.48
citeseer,16,0.03,0.3,1000,4,0.001,76.83,1.45
cora,16,0.01,0.3,1000,4,0.001,84.69,1.73
wisconsin,16,0.003,0.4,1000,3,0.001,87.45,2.93
texas,16,0.003,0.4,1000,3,0.001,74.05,7.76
cornell,16,0.003,0.4,1000,3,0.001,77.03,2.18
citeseer,16,0.03,0.4,1000,4,0.0005,77.0,1.32
cora,16,0.01,0.4,1000,4,0.0005,85.61,1.45
wisconsin,16,0.003,0.5,1000,3,0.0005,86.47,3.87
texas,16,0.003,0.5,1000,3,0.0005,71.35,5.95
cornell,16,0.003,0.5,1000,3,0.0005,73.78,2.72
citeseer,16,0.03,0.4,1000,4,0.001,77.1,1.19
cora,16,0.01,0.4,1000,4,0.001,85.23,1.58
wisconsin,16,0.003,0.5,1000,3,0.001,86.67,3.49
texas,16,0.003,0.5,1000,3,0.001,71.89,6.3
cornell,16,0.003,0.5,1000,3,0.001,73.24,2.82
